Project ID,private,Project Name,Facility Name,State,Street Address,City,ZIP Code,County or Parish,Longitude,Latitude,Project Description,Classification,Industry Sector,Project Type,Greenhouse Gases (CO2e),Particulate Matter (PM2.5),Nitrogen Oxides (NOx),Volatile Organic Compounds (VOC),Sulfur Dioxide (SO2),Carbon Monoxide (CO),Hazardous Air Pollutants (HAPs),Operating Status,Actual or Expected Completion Year,Operating Status Sources and Notes,Project Cost (million $),Number of Jobs Promised
2748,FALSE,Beaumont Gas to Gasoline Plant - Initial Construction,Beaumont Gas to Gasoline Plant[986],TX,2366 Sulphur Plant Rd,Beaumont,77705,Jefferson,-94.055312,30.030489,"Construction of a new motor-grade gasoline facility, which converts natural gas into methanol and then into gasoline. The plant would be designed to produce 2,478,560 tons per year (5,500 metric tons per day) of methanol and 8,030,000 barrels per year (20,000 barrels per day) of gasoline.",New,Petrochemicals and Plastics,Methanol Plant,1175081,54.4,100.56,98.99,8.15,518.99,,Partially operating,2018/Unknown,"Commercial methanol production began in 2018. - Initial Start-up Notifications (submitted 12/18/2017 and 5/7/2018); Permit application, GHGPSDTX54 (amended 6/17/2020 to account for as-built changes); Compliance report (1/11/2021)

Company press release: 
https://www.prnewswire.com/news-releases/natgasoline-successfully-ramped-up-to-full-utilization-achieves-provisional-acceptance-300703517.html

https://excelusa.com/projects/orascom-methanol-plant-beaumont-texas/

The gasoline portion of the project was never constructed. According to the facility's current TV permit, ""The authorized emission points and facilities will be constructed in two phases. Phase I Methanol (â€œMeOHâ€",,
2749,FALSE,Beaumont Plant.10049-01,Arkema Beaumont Plant[760],TX,2810 Gulf States Rd,Beaumont,77701,Jefferson,-94.058096,30.059865,"Replacement and modification of equipment to enable increased production of methyl mercaptain, addition of a third reactor to enable increased production of hydrogen sulfide, addition of a second Sulfox unit, and replacement of a flare at the existing Beaumont Plant.",Expansion,Petrochemicals and Plastics,Other Chemicals,153939,9.18,80.93,24.58,71.68,96.98,,Operating,2018,NAPD. Permit was amended 3/15/2019 to remove the 416 hours limit of the flare. No updated emissions calculations.,,
2750,FALSE,Beaumont Methanol Process Unit Expansion,Beaumont Methanol Plant[960],TX,Hwy 347 (2 mi SE from Hwy 380),Beaumont,77627,Jefferson,-94.02955,30.013686,"Construction, modification, and optimization of equipment that will increase the plant's annual methanol production to 1,098,000 metric tons and ammonia production to 322,727 metric tons.",Expansion,Petrochemicals and Plastics,Methanol Plant,1202314,83,99.5,62.7,5.5,255.9,,Operating,2015,Company website: http://www.ocipartnerslp.com/dev/content.php?page=about-oci-beaumont,,
2751,FALSE,Beaumont Refinery Expansion,Beaumont Refinery[761],TX,2805 Sycamore St,Beaumont,77701,Jefferson,-94.079458,30.060237,"Addition of a new light crude atmospheric pipestill (Crude Unit C), depentanizer fractionator, kerosene hydrotreater, diesel hydrotreater, and supporting facilities. Revamp of equipment at the gas plant 5 east unit. Modifications will enable the plant to process more light-sweet crude, produce intermediate feedstocks on-site, and produce more gasoline and distillate products.",Expansion,Oil,Refinery,414961,48.9,0,0,61.4,343.9,,Under construction,2022,"Company website, available at: https://corporate.exxonmobil.com/news/newsroom/news-releases/2019/0129_exxonmobil-to-proceed-with-new-crude-unit-as-part-of-beaumont-refinery-expansion",,
2752,FALSE,"Beaumont Terminal, Terminal Growth Project.10286-01",Beaumont Terminal[762],TX,128 Magnolia Ave,Nederland,77627,Jefferson,-93.994483,29.988527,"Expansion of the Beaumont Terminal, including installation of 6 new vapor combustors to increase marine loading rate capacity to 75,000 bbl/hr, reopening dock 3, increasing inbound and outbound marine, rail, and truck tank loading, and other modifications.",Expansion,Oil,Crude Oil Terminal,122151,4.77,37.13,567.61,32.42,160.79,,Operating,2020,"Emissions are from TCEQ Permit No. 18295, amended 8/16/2019; as-built amendment to revise aspects of the 2016 Terminal Growth Project as a result of ""higher-than-projected demand for crude/condensate and issues achieving 0.06 pound per million British thermal unit (lb/MMBtu) NOX emission factor for vapor combustion units (VCU)."" Multiple minor/admiistrative amendments since 8/2019 to update special conditions, modify emissions caps, etc.",4151,
2761,FALSE,Blue Moon Compressor Station.10149-01,Blue Moon Compressor Station[772],PA,344 McGirts Rd,Daisytown,15427,Washington,-79.994868,40.081596,"Construction and installation of five compressor engines, two tri ethylene glycol dehydrators, four produced water tanks, three low pressure pig receivers, one high pressure pig launcher, miscellaneous lubrication oil tanks, and piping components.",New,Natural Gas,Compressor Station,227957,13.57,97.89,27.17,0,70.26,13.26,Pre-construction,Unknown,"5 extensions to the commencement of construction have been issued, most recently on 3/3/2020",,
2762,FALSE,Bluewater SPM Deepwater Port - Initial Construction,Bluewater SPM Deepwater Port[773],TX,0,Corpus Christi,0,Nueces,-96.651156,27.889361,"Construction of a new deepwater port in the federal waters of the Gulf of Mexico, which would consist of two single point mooring buoys and would allow for export of domestically produced crude oil. The marine loading operations associated with the Bluewater SPM Deepwater Port would be able to handle 384 million barrels of crude oil every year.",New,Oil,Crude Oil Terminal,185453,,,18936.25,,,833.18,Pre-construction,2021,"EPA public notice 11/12/2020-12/11/2020; extended until 1/11/2021. BWTT expects to begin construction on the deepwater port in June 2020, complete construction in October 2021, and start operations in November 2021. EPA Region 6, Response to BWTX PSD Permit Application (11/9/2020), available at: https://www.regulations.gov/document/EPA-R06-OAR-2020-0510-0008

Stopclock for application review issued 11/7/2019, removed 10/23/2020. The required information was received and determined sufficient to fulfill requirements under federal laws. Deepwater Port Act Timeline reinstated 1/8/2021.

Docket # MARAD-2019-0094",,"200 construction jobs; 40 full-time jobs (for the entire BWTX SMP Project, including pipeline construction)"
2763,FALSE,Harbor Island Booster Station - Initial Construction,Harbor Island Booster Station[4174],TX,0,Aransas Pass,0,Nueces,-97.067344,27.850475,Construction of a new booster station that will be used to increase the line pressure for two pipelines used to transfer crude oil to the proposed Bluewater SPM offshore deepwater port located 18 statute miles off the shore of Port Aransas Texas. Four large crude pumps will be used to pump crude oil through each of the proposed pipelines. ,New,Oil,Other Pipeline Infrastructure,,0.02,0.35,18.41,0.11,0.29,,Pre-construction,2021,"Emissions taken from draft TCEQ PBR Application, MARAD application, Vol. I Appendix Y (pg. 6)",,
2764,FALSE,Bluewing Phase III Terminal Expansion,Bluewing Phase III Terminal[774],TX,County Rd 1792,Brownsville,78521,Cameron,-97.37606,25.96422,"Expansion of the Bluewing Phase III Terminal, which stores and transports refined products like gasoline, diesel fuel, and ethanol. This project would involve constructing 37 new storage tanks and expanding the facility's railcar and truck loading operations, allowing it to handle up to 18.5 million barrels of gasoline and 19.8 million barrels of ethanol and diesel fuel every year.",Expansion,Oil,Crude Oil Terminal,,0.32,6.25,97.6,0.03,11.49,5.59,Pre-construction,2022,"Anticipated start of construction = 4/1/2021; start of operation = 10/1/2021 (application, page 27) - updated to 2022 because permit issued 2 months later and no indication that construction has commences (AS 12/2)",,
2765,FALSE,Borger Refinery Boiler Project,Borger Refinery[775],TX,S Hwy Spur 119 N,Borger,79008,Hutchison,-101.36305,35.699444,Additions that will increase the steam production capabilities of 3 backup boilers.,Expansion,Oil,Refinery,720045,21.74,44.69,15.65,38.46,209.52,,Operating,2017,NAPD (project increase),,
2766,FALSE,"Borger Refinery, Crude Flexibility and Modernization Project",Borger Refinery[775],TX,S Hwy Spur 119 N,Borger,79008,Hutchison,-101.36305,35.699444,"Installation of a new Continuous Catalytic Reformer (CCR) Unit and a new Naphtha Splitter Unit; installation of new and more efficient crude charge heaters to replace the existing crude charge heaters, and modifications in other selected refinery process units.",Expansion,Oil,Refinery,470082.58,890.69,368.35,644.55,647.89,2722.41,,Pre-construction,2023,"Construction expected to begin 2021 (Initial Permit Application, TCEQ Form PI-1, page 62 of pdf)

None of the compliance documents returned through FOIA from TCEQ indicate that the emissions units authorized by these permits are currently operating (AS 12/20/2021)",,
2769,FALSE,Dayton Yard Plastics Renewal Facility,Brightmark Plastics Renewal TX - Dayton Yard Facility[778],TX,2264 Hwy 146,Dayton,77535,Liberty,-94.896372,30.009645,"Construction of a new plastics renewal plant, which would convert commingled plastics into ultra-low sulfur diesel, naphtha, and paraffin wax.",New,Petrochemicals and Plastics,Plastics-to-Fuel Plant,15220,27.52,43.14,37.61,2.16,37.13,7.44,Pre-construction,2022,"According to the project's initial permit application, construction is expected to commence in July 2021 and commercial operations are expected in December 2022.",,
2770,FALSE,Buckeye South Texas Gateway Terminal - Initial Construction,Buckeye South Texas Gateway Terminal[779],TX,200 FM Rd 1069,Ingleside,78362,San Patricio,-97.192777,27.826944,Construction of a new crude oil marine terminal.,New,Oil,Crude Oil Terminal,174685,8.32,23.25,251.01,39.94,18.64,,Operating,2020,Notification of Start of Operation (7/22/2020),,
2780,FALSE,Carpenter Compressor Station.10222-01,Carpenter Compressor Station[791],PA,215-333 Old National Pike,West Alexander,15376,Washington,-80.482473,40.113642,Construction and subsequent expansion of a compressor station.,New,Natural Gas,Compressor Station,83455,7,91,50,0,51,13,Operating,2015,,,
2783,FALSE,Cedar Bayou - Ethylene Production Expansion,Chevron Phillips Chemical - Cedar Bayou Plant[794],TX,9500 Interstate 10 E,Baytown,77521,Harris,-94.923369,29.823097,"Addition of a new ethylene production unit (Unit 1594) that will increase ethylene production at the plant by 1.5 million metric tons/yr and also produce fuel gas, mixed C3 and C4 hydrocarbons, and lower-output hydrocarbons.",Expansion,Petrochemicals and Plastics,Ethylene Cracker,1405912,92.92,255.65,218.6,33.07,925.58,,Operating,2018,"News article, available at: http://baytownedf.org/news-media/article/chevron-phillips-chemical-successfully-starts-new-ethane-cracker-in-baytown",1511,
2786,FALSE,Arrow Central Delivery Facility,Arrow Central Delivery Facility[797],ND,10681 ND-73,Watford City,58847,McKenzie,-102.87526,47.803169,"Construction of a new internal floating roof (IFR) crude oil storage tank, a new water handling system consisting of four additional vertical fixed roof (VFR) storage tanks, and a diesel-fired emergency generator engine at the existing crude oil import and export terminal.",Expansion,Oil,Crude Oil Terminal,2700,0.27,7.91,64.02,0.08,10.01,1.59,Operating,2015,"Full compliance report (submitted 3/10/2021); Permit application for PTC20023 (submitted 5/15/2014): https://www.dropbox.com/home/Emission%20Increases/North%20Dakota/Arrow%20Midstream%20Holdings%20-%20Central%20Delivery%20Facility

Construction began in 2014. New emissions units authorized under PTC14036: 
EU 22 - EU 27. Emissions points 23-26 removed.",,
2789,FALSE,Chemical Orange Polyethylene Plant Expansion,Chemical Orange Polyethylene Plant[802],TX,FM 1006 (0.5 mi E of SH 87),Orange,77630,Orange,-93.7811,30.04806,"Construction of a new ethylene cracking unit and two polyethylene units, capable of producing 2 million tons of ethylene and 2 million tons of high-density polyethylene annually.",Expansion,Petrochemicals and Plastics,Ethylene Cracker,3891942,206.51,599.89,1089.8,163.59,2171.49,,Pre-construction,2024,"Comptroller Chapter 313 Application, available at: https://comptroller.texas.gov/economy/local/ch313/agreement-docs-details.php?id=1330

""CPCC and QP said they expect to take a final investment decision on the project no later than 2021, followed by full funding and award of engineering, procurement, and construction contracts, for a targeted start-up of the new complex in 2024."" (OGJ, May construction update) - https://www.ogj.com/general-interest/article/14036304/cpcc-qp-plot-usgc-petrochemical-complex",8000,
2791,FALSE,Chocolate Bayou Steam Generating Station,INEOS Chocolate Bayou Chemical Plant[805],TX,2 mi South of FM 2917 and FM 2004,Alvin,77511,Brazoria,-95.192963,29.226668,"Construction of the Chocolate Bayou Steam Generating (CBSG) Station, a new power plant that would provide steam and electricity to the INEOS Chocolate Bayou Chemical Plant.",New,Petrochemicals and Plastics,Associated Electricity Generation,1556150,86.89,109.34,16.23,1.24,279.85,,Operating,2019,"TCEQ Air Quality Application Supplement, Table 1F; Title V Permit No. O-3966 (issued 1/17/2019); Semiannual Deviation Reports (period from 1/17/2019 - 9/30/2020)",,
2792,FALSE,Chocolate Bayou - New PDH Unit,PDH Chocolate Bayou Plant[804],TX,FM 2917 (8 mi S of Hwy 35),Alvin,77512,Brazoria,-95.213227,29.248919,Construction of a new propane dehydrogenation (propylene) plant at an existing petrochemical facility.,New,Petrochemicals and Plastics,Propylene Dehydrogenation (PDH) Plant,795940,41.5,53.2,20.1,4,323.6,,Canceled,Unknown,"News articles, available at: 

https://www.reutersevents.com/downstream/supply-chain-logistics/ascend-shelves-pdh-project-polyethylene-market-faces-oversupply

http://analysis.petchem-update.com/supply-chain-logistics/ascend-shelves-pdh-project-polyethylene-market-faces-oversupply",1200,
2793,FALSE,Chocolate Bayou Cracking Furnace Expansion,INEOS Chocolate Bayou Chemical Plant[805],TX,2 mi South of FM 2917 and FM 2004,Alvin,77511,Brazoria,-95.192963,29.226668,Construction of an eleventh cracking furnace and a new decoke/cyclone drum at the No. 2 Olefins unit. This project would expand ethylene capacity by 150 million pounds per year.,Expansion,Petrochemicals and Plastics,Ethylene Cracker,216654,5.61,21.68,4.52,1.69,97.88,0.17,Operating,2014,"Actual construction was completed on 3/27/2014 and startup occurred around 4/21/2014 (Start-up notification, submitted 4/10/2014).",,
2794,FALSE,Clear Lake Methanol Plant - New Methanol Unit,Celanese Clear Lake Plant[806],TX,9502 Bayport Blvd,Pasadena,77507,Harris,-95.066829,29.621261,Construction of a new methanol unit at an existing chemical manufacturing facility. The new unit will produce 1.433 million tons of methanol per year for use as feedstock in other on-site manufacturing processes.,Expansion,Petrochemicals and Plastics,Methanol Plant,535218,40.39,59.5,83.62,8.34,612.5,,Operating,2015,Began operating in October 2015 (4/18/2019 https://www.hydrocarbonprocessing.com/news/2019/04/celanese-expands-methanol-production),,
2803,FALSE,NGPL Compressor Station 301,NGPL Compressor Station 301[815],TX,3240 W FM 1161 Rd,Wharton,77488,Wharton,-96.124722,29.402222,Expansion of an existing compressor station to support the NGPL Gulf Coast Southbound Pipeline Project (Phase II).,Expansion,Natural Gas,Compressor Station,70699,3.71,20.89,5.94,1.91,48.26,1.61,Operating,2020,"Emissions taken from permit application (pg. 12). The
Project facilities at CS 301 were placed in-service on December 15, 2020.",,
2804,FALSE,NGPL Compressor Station 304,NGPL Compressor Station 304[816],TX,583 Terrapin Neck Rd,Marshall,75672,Harrison,-94.428888,32.408333,Expansion of an existing compressor station to support the NGPL Gulf Coast Southbound Pipeline Project (Phase II).,Expansion,Natural Gas,Compressor Station,184284,9.96,56.43,14.04,5.13,113.41,4.3,Operating,2021,"CO2e and HAP values are from FERC. The rest of the criteria pollutant values are from the 5/1/2020 final permit (page 2 - ""Estimated Emissions."") Initial final permit was issued 4/3/2019. In May 2020 a new application was submitted (and a new permit was issued) to reflect changes to the emergency generator - see application on 4/2/2020. Placed into service on 3/1/2021.",,
2807,FALSE,Compressor Station 607,Compressor Station 607[819],PA,Maransky Rd,Sweet Valley,18656,Luzerne,-76.22439,41.299705,"Construction of a natural gas compressor station as part of the Leidy South Pipeline project, which will expand Transco's existing natural gas transmission system and add incremental firm transportation capacity for growing supplies of natural gas from Pennsylvania to downstream markets.",New,Natural Gas,Compressor Station,208299.49,11.4,55.05,8.03,5.87,14.31,2.86,Under construction,2021,"Emissions taken from permit application (10/2019), calculations. Permit expiration date from final permit. FOIA submitted 5/28/2020 for final permit, application, and technical docs. Received 7/14/2020 after follow-up. ",,
2808,FALSE,Compressor Station 610,Compressor Station 610[820],PA,26 Welliversville Rd,Milville,17846,Columbia,-76.44922,41.10687,"Expansion of an existing compressor station as part of the Leidy South Pipeline project, which will expand Transco's existing natural gas transmission system and add incremental firm transportation capacity for growing supplies of natural gas from Pennsylvania to downstream markets.",Expansion,Natural Gas,Compressor Station,133155,7,33.79,8.91,3.57,39.84,3.57,Under construction,2021,"FOIA submitted 5/28/2020 for final permit, application, and technical docs.  Received 7/14/2020 after follow-up. ",,
2809,FALSE,Compressor Station 620,Compressor Station 620[821],PA,Deep Creek Rd,Hegins,17938,Schuylkill,-76.473615,40.676298,"Construction of a natural gas compressor station as part of the Leidy South Pipeline project, which will expand Transco's existing natural gas transmission system and add incremental firm transportation capacity for growing supplies of natural gas from Pennsylvania to downstream markets.",New,Natural Gas,Compressor Station,128660.79,6.97,33.09,7.47,3.58,27.86,3.47,Under construction,2021,"Emissions taken from permit application (10/2019), calculations. Permit expiration date from final permit. FOIA submitted 5/28/2020 for final permit, application, and technical docs. Received 7/14/2020 after follow-up. Construction expected to begin 1/1/2021; anticipated in-service date 12/1/2021 (GP-5, General Information Form, pg. 4)",,
2813,FALSE,CCI Corpus Christi Condensate Splitter Facility - Initial Construction,CCI Corpus Christi Condensate Splitter Facility[826],TX,"7209 Up River Rd, 4820 Navigation Blvd",Corpus Christi,78402,Nueces,-97.484167,27.826111,"Construction of a new, 100,000 barrel per day condensate splitter facility and bulk petroleum storage terminal.",New,Oil,Condensate Splitter,207771,9.5,38.96,506.64,0.84,97.89,,On hold,2020,"According to the project's second construction extension, issued October 4, 2019, construction on the CCI Corpus Christi Condensate Splitter Facility was expected to begin by December 19, 2019.",,
2814,FALSE,Buckeye Texas Processing - Corpus Christi Condensate Splitter,EF90 Corpus Christi Condensate Splitter and Terminal Facility[825],TX,7209 Up River Rd,Corpus Christi,78409,Nueces,-97.43859,27.82591,"Construction of the Corpus Christi Condensate Splitter, which would consist of two separation units (or ""splitters""), each capable of processing 25,000 barrels of condensate per day.",Expansion,Oil,Condensate Splitter,155175,9.2,46.52,553.17,13.43,99.47,,Operating,2015,"Construction began 8/12/2014 (notification submitted 8/18/2014). According to O3869 (issued 5/20/2020), ""Start-up of the facility commenced in late November 2015. Shortly after start-up, it was discovered the site meets the definition of a major source of VOC as defined in 30 TAC Â§122.10, therefore, BTP is submitting an initial issuance application to authorize the operation of the site. BTP is currently
out of compliance for operating a major source without a Title V and PSD permit.""",304,
2816,FALSE,"Corpus Christi LNG Trains 1, 2, and 3",Corpus Christi LNG Terminal[828],TX,622 Hwy 35,Gregory,78359,San Patricio,-97.270114,27.883675,"Construction of a new liquefied natural gas import and export facility that would consist of three liquefaction ""trains,"" each capable of processing 5 million metric tons of LNG per year. ",New,Liquefied Natural Gas,Liquefied Natural Gas Terminal or Liquefaction Plant,5538226,85.3,3541.4,353.11,49.39,3621.77,,Operating,2019/2021,"Commissioning of Train 1 began in 2018; commercial operations at Train 1 began in 2019. Train 2 was completed in 2019. Train 3 was completed in 2021:
https://www.cheniere.com/where-we-work/ccl",,
2817,FALSE,Corpus Christi LNG - Stage III Expansion Project,Corpus Christi LNG Terminal[828],TX,622 Hwy 35,Gregory,78359,San Patricio,-97.270114,27.883675,The Corpus Christi Stage III project would consist of seven â€‹â€œmidscaleâ€,Expansion,Liquefied Natural Gas,Liquefied Natural Gas Terminal or Liquefaction Plant,900845,19.6,188.2,104.6,12,537.3,,Pre-construction,2024,"Two extensions to the commencement of construction deadline have been issued for the Stage 3 project on 2/28/2018 and 9/22/2020. The second 18-month extension will expire on 6/28/2022. The 6/28/2019 permit amendment revised design of Stage 3 project from 2 trains to 7 midscale trains; reduction in emissions over 1 million CO2e. On January 10, 2020, CCL Stage III received FERC authorization to proceed with early works activities within the Stage 3 LNG Facilities. CCL Stage III did not conduct any construction activities during the period of January through March 2021. Per FERC Staffâ€™s request.",,
2818,FALSE,Magellan Corpus Christi Terminal - New Condensate Splitter,Magellan Corpus Christi Terminal[830],TX,1802 Poth Ln,Corpus Christi,78407,Nueces,-97.430849,27.812534,"Construction of new condensate splitter at an existing oil terminal, which would be capable of processing 100,000 barrels of condensate and crude oil every day. The new splitter would consist of two identical 50,000 barrel per day processing trains that would be constructed in two phases, one processing train at a time.",Expansion,Oil,Condensate Splitter,237204,9.54,39.56,304.54,23.05,153.12,,Partially operating,2016/Unknown,"Magellan Midstream Partners, L.P. 2017 Annual Report, available at: http://www.annualreports.com/HostedData/AnnualReportArchive/m/NYSE_MMP_2017_5411aa3f88bc40a6812d7b34de2a20a0.pdf

Company website: https://www.magellanlp.com/whatwedo/crudeproducts.aspx

Magellan Corpus Christi Terminal, New Condensate Splitter, Startup Notification (11/7/2016)

""The facility consists of two trains processing 50,000 bbls per day each of condensate, with Phase 1 being the initial 50,000 bbls per day installation and Phase 2 an identical train to be installed in the future."" 118270 amendment application (submitted 3/1/2021, pg 11); TV permit no 3882 (issued 1/7/2021), technical review",,
2820,FALSE,Covestro Baytown Plant Expansion,Covestro Industrial Park[832],TX,8500 W Bay Rd,Baytown,77523,Chambers,-94.915119,29.745828,"Covestro LLC submitted an application to the Goose Creek Independent School District on February 12, 2021 to significantly expand manufacturing capacity at the Covestro Industrial Park in Baytown, TX. The company is considering constructing new polymer manufacturing units for polyurethane and polycarbonates. Construction is expected to commence in 2025, with completion in 2028.",Expansion,Petrochemicals and Plastics,Plastic Resin Manufacturing,,,,,,,,Announced,2028,"The project is still begin evaluated; only very preliminary development activities have begun. No engineering, procurement or construction contracts have been negotiated or signed to support the project. Construction expected to begin 2025",1700,25
2827,FALSE,Demicks Lake Gas Plants I and II,Demicks Lake Gas Plant[840],ND,11242 33rd St NW,Watford City,58847,McKenzie,-102.989511,47.887505,"Construction of a new gas processing plant that would consist of two processing trains, Demicks Lake I and II, each capable of processing 200 million standard cubic feet of natural gas per day.",New,Natural Gas,Gas Processing Plant,126142.27,6.44,56.39,115.77,0.67,127.31,3.45,Operating,2019/2020,"Train 1 of the Demicks Lake Gas Plant was started up on February 7, 2020; Train 2 was started up on October 17, 2019. (Start-up Notifications)
See also:
https://www.oneok.com/about-us/growth-projects 
https://bismarcktribune.com/bakken/oneok-announces-expansions-of-new-natural-gas-liquids-pipeline-processing/article_f03b4c74-637a-509e-8859-431c5dfda030.html
https://bismarcktribune.com/bakken/elk-creek-pipeline-demicks-lake-gas-plant-completed/article_93d7ee9c-124d-5fd5-b904-f815142df7d8.html",,
