Coordinates,State,County or Parish,Company,Facility,Project,Type,Status,Sector,Potential CO2e (tons/year),Estimated population - 3 miles,Percent people of color - 3 miles,Percent low income - 3 miles
"-122.253853, 38.044596",CA,Contra Costa,Phillips 66,Phillips 66 Rodeo Refinery,Phillips 66 Rodeo Renewed Project,Renewable Diesel or Gasoline Refinery,Pre-construction,Other,-37385.94,39990,75,20
"-122.064694, 38.025139",CA,Contra Costa,Tesoro Refining & Marketing Company LLC,Martinez Refinery,Martinez Refinery Renewable Fuels Project,Renewable Diesel or Gasoline Refinery,Pre-construction,Other,-1303318.433,33295,48,19
"-104.661964, 40.455791",CO,Weld,DCP Operating Company LP,Lucerne Natural Gas Processing Plant,Lucerne 2 Expansion Project,Gas Processing Plant,Operating,Natural Gas,264828,9862,69,57
"-104.797818, 40.954386",CO,Weld,Rockies Express Pipeline LLC,REX Cheyenne Hub Booster Compressor Station,REX Cheyenne Hub Booster Compressor - Initial Construction,Compressor Station,Partially operating,Natural Gas,138804,,6,16
"-104.622781, 40.2599",CO,Weld,"DCP Operating Company, LP",Bighorn Natural Gas Processing Plant,Bighorn Gas Plant - Initial Construction,Gas Processing Plant,Pre-construction,Natural Gas,,531,27,34
"-72.159025, 41.817495",CT,Windham,"Algonquin Gas Transmission, LLC",Chaplin Compressor Station,Chaplin Compressor Station,Compressor Station,Operating,Natural Gas,38661,3784,11,20
"-73.123537, 41.481624",CT,New Haven,"Algonquin Gas Transmission, LLC",Oxford Compressor Station,Oxford Compressor Station,Compressor Station,Operating,Natural Gas,41642,11773,19,14
"-82.339803, 29.002478",FL,Marion,"Sabal Trail Transmission, LLC",Dunnellon Compressor Station,Dunnellon Compressor Station,Compressor Station,Operating,Natural Gas,99872,2860,30,37
"-81.61551, 30.41224",FL,Duval,"Eagle LNG Partners Jacksonville, LLC",Eagle Jacksonville LNG Facility,Eagle Jacksonville LNG - Initial Construction,Liquefied Natural Gas Terminal or Liquefaction Plant,Pre-construction,Liquefied Natural Gas,71851.6,19477,53,37
"-82.886219, 30.070652",FL,Suwannee,"Sabal Trail Transmission, LLC",Hildreth Compressor Station,Hildreth Compressor Station,Compressor Station,Partially operating,Natural Gas,186190,1311,14,33
"-85.311117, 29.821383",FL,Gulf of Mexico,Nopetro LNG LLC,Nopetro LNG Production Facility,Nopetro LNG - Initial Construction,Liquefied Natural Gas Terminal or Liquefaction Plant,Announced,Liquefied Natural Gas,,,39,43
"-81.555807, 28.261665",FL,Osceola,"Sabal Trail Transmission, LLC",Reunion Compressor Station,Reunion Compressor Station,Compressor Station,Operating,Natural Gas,170019,14174,37,42
"-87.142006, 30.580069",FL,Santa Rosa,Taminco US LLC,Taminco Pace Plant,No. 4 Methylamines Plant Expansion,Other Chemicals,Operating,Petrochemicals and Plastics,25906,17931,13,30
"-87.142006, 30.580069",FL,Santa Rosa,Taminco US LLC,Taminco Pace Plant,DIMLA Plant Expansion,Other Chemicals,Pre-construction,Petrochemicals and Plastics,,17931,13,30
"-86.885387, 30.910908",FL,Santa Rosa,Florida Gas Transmission Company LLC,Big Bend Compressor Station 12,Big Bend Project - Big Bend Compressor Station 12,Compressor Station,Canceled,Natural Gas,3635,,2,34
"-84.709619, 30.505336",FL,Gadsden,Florida Gas Transmission Company LLC,Big Bend Compressor Station 14,Big Bend Project - Big Bend Compressor Station 14,Compressor Station,Canceled,Natural Gas,11751,1115,53,55
"-83.606564, 30.162708",FL,Taylor,Florida Gas Transmission Company LLC,Big Bend Compressor Station 15,Big Bend Project - Big Bend Compressor Station 15,Compressor Station,Canceled,Natural Gas,3591,4181,9,37
"-82.846599, 29.663817",FL,Gilchrist,Florida Gas Transmission Company LLC,Big Bend Compressor Station 24,Big Bend Project - Big Bend Compressor Station 24,Compressor Station,Canceled,Natural Gas,12738,926,35,31
"-82.517213, 27.624524",FL,Manatee,"Gulfstream Natural Gas System, LLC",Compressor Station 420,Gulfstream Compressor Station 420,Compressor Station,Under construction,Natural Gas,32.8,7638,24,22
"-81.490945, 28.520247",FL,Orange,Florida Gas Transmission Company LLC,Putnam Compressor Station 18,Putnam Expansion Project,Compressor Station,Operating,Natural Gas,130.54,108329,62,39
"-84.250549, 31.541712",GA,Dougherty,"Sabal Trail Transmission, LLC",Albany Compressor Station,Albany Compressor Station,Compressor Station,Partially operating,Natural Gas,187499,5142,82,47
"-81.000989, 32.088993",GA,Chatham,"Southern Liquefaction Company, LLC",Elba Liquefaction Terminal,Elba Liquefaction Terminal,Liquefied Natural Gas Terminal or Liquefaction Plant,Operating,Liquefied Natural Gas,396153.14,1475,30,24
"-82.81168, 34.288842",GA,Hart,"Elba Express Company, LLC",Hartwell Compressor Station,Hartwell Compressor - Elba Express Modification Project,Compressor Station,Operating,Natural Gas,293200,1043,29,45
"-82.43194, 33.074075",GA,Jefferson,"Elba Express Company, LLC",Jefferson County Compressor Station,Jefferson County Compressor - Initial Construction,Compressor Station,Operating,Natural Gas,85596,399,53,47
"-81.300503, 32.281775",GA,Effingham,"Elba Express Company, LLC",Rincon Compressor Station,Rincon Compressor - Initial Construction,Compressor Station,Operating,Natural Gas,70949,3897,20,22
"-82.011743, 33.368386",GA,Richmond,"Solvay Specialty Polymers USA, LLC",Solvay Augusta Plant,"Sulfone Expansion, Project PUSH, and Project Jupiter",Other Chemicals,Operating,Petrochemicals and Plastics,,27138,70,48
"-82.011743, 33.368386",GA,Richmond,"Solvay Specialty Polymers USA, LLC",Solvay Augusta Plant,Verian Expansion Project,Other Chemicals,Operating,Petrochemicals and Plastics,,27138,70,48
"-83.65601, 32.71794",GA,Bibb,Brightmark Plastics Renewal Georgia LLC,Brightmark Macon-Bibb Plastics Renewal Facility,Macon-Bibb Plastics Renewal Facility - Initial Construction,Plastics-to-Fuel Plant,Pre-construction,Petrochemicals and Plastics,,8772,31,33
"-91.228512, 40.692368",IA,Lee,Iowa Fertilizer Company,IFC Fertilizer Complex,IFC Fertilizer Complex - Initial Construction,Ammonia/Urea Plants,Operating,Synthetic Fertilizers,2300368,626,8,21
"-96.37879, 42.330554",IA,Woodbury,"CF Industries Nitrogen, LLC",Port Neal Nitrogen Complex,Port Neal Ammonia and Urea Plants,Ammonia/Urea Plants,Operating,Synthetic Fertilizers,2845548,153,21,25
"-88.321722, 39.791691",IL,Douglas,"Cronus Chemicals, LLC",Cronus Ammonia Plant,Cronus Ammonia Plant - Initial Construction,Ammonia/Urea Plants,Pre-construction,Synthetic Fertilizers,1822415,5104,7,28
"-88.053074, 41.644645",IL,Will,CITGO Petroleum Corp,Lemont Refinery,Lemont Refinery.10079-01,Refinery,Operating,Oil,450000,28188,33,22
"-90.095067, 38.812827",IL,Madison,"Phillips 66 Carrier, LLC",Wood River Refinery and Hartford Terminal,Wood River CORE Expansion and Hartford Terminal Expansion Projects.10283-01,Refinery,Operating,Oil,209350,6437,7,39
"-86.777358, 38.378645",IN,Dubois,ANR Pipeline Company,Celestine Station,Celestine Station.10022-01,Compressor Station,Pre-construction,Natural Gas,174352,1499,0,9
"-87.9294, 37.9179",IN,Posey,Midwest Fertilizer Company LLC,Midwest Fertilizer - Nitrogen Fertilizer Manufacturing Facility,Midwest Fertilizer - Initial Construction,Ammonia/Urea Plants,Pre-construction,Synthetic Fertilizers,1615044,7309,8,33
"-85.049366, 41.532282",IN,Steuben,Brightmark Plastics Renewal Indiana 2 LLC,Brightmark Plastics Renewal IN - Ashley Facility,Ashley Plastics Renewal - Initial Construction,Plastics-to-Fuel Plant,Operating,Petrochemicals and Plastics,,2472,4,32
"-85.049366, 41.532282",IN,Steuben,Brightmark Plastics Renewal Indiana 2 LLC,Brightmark Plastics Renewal IN - Ashley Facility,Ashley Plastics Renewal - Expansion Project,Plastics-to-Fuel Plant,Pre-construction,Petrochemicals and Plastics,,2472,4,32
"-97.809563, 37.906522",KS,Reno,Tenawa Haven Processing LLC,Haven Gas Plant,Haven Gas Plant and Helium Extraction Expansion Project,Natural Gas Liquids Fractionator,Operating,Petrochemicals and Plastics,323966,1573,15,32
"-96.871462, 37.799459",KS,Butler,HollyFrontier El Dorado Refining LLC,HollyFrontier El Dorado Refinery,Holly Frontier Naphtha Fractionation Project.10172-01,Refinery,Operating,Oil,190119,11453,9,41
"-82.59857, 38.374597",KY,Boyd,"MPLX Terminals, LLC",Catlettsburg Refinery,Catlettsburg Refinery,Refinery,Operating,Oil,145913,9882,5,36
"-88.330191, 37.048656",KY,Marshall,Westlake Chemical OpCo LP,Westlake Calvert City Ethylene Plant,Westlake Calvert City - Ethylene Plant Capacity Expansion,Ethylene Cracker,Operating,Petrochemicals and Plastics,92059,3095,5,43
"-85.656389, 36.903889",KY,Metcalfe,"Columbia Gulf Transmission, LLC",Goodluck Compressor Station,Goodluck Compressor Station.10084-01,Compressor Station,Operating,Natural Gas,148774,948,3,59
"-82.909201, 38.350966",KY,Carter,"Columbia Gulf Transmission, LLC",Grayson Compressor Station,Grayson Compressor Station.10082-01,Compressor Station,Operating,Natural Gas,210323,7029,7,50
"-83.436432, 38.249505",KY,Rowan,"Columbia Gulf Transmission, LLC",Morehead Compressor Station,Morehead Compressor Station.10085-01,Compressor Station,Operating,Natural Gas,199212,861,2,52
"-84.459703, 37.579603",KY,Garrard,"Columbia Gulf Transmission, LLC",Paint Lick Compressor Station,Paint Lick Compressor Station.10083-01,Compressor Station,Operating,Natural Gas,175671,900,1,45
"-88.330191, 37.048656",KY,Marshall,Westlake Vinyls Inc,Westlake Calvert City Ethylene Plant,Westlake Calvert City - 2020 Expansion Project,Plastic Resin Manufacturing,Pre-construction,Petrochemicals and Plastics,916967,3095,5,43
"-87.499444, 37.5075",KY,Webster,"Texas Gas Transmission, LLC",Slaughters Compressor Station,Slaughters Compressor - Initial Construction,Compressor Station,Pre-construction,Natural Gas,4424,1347,4,35
"-91.20696, 30.48949",LA,West Baton Rouge,Air Liquide Large Industries US LP,Air Liquide Port Allen Facility,Port Allen Air Separation Unit,Other Inorganic Gases,Under construction,Petrochemicals and Plastics,,21382,81,59
"-92.229659, 31.437694",LA,Rapides,"Columbia Gulf Transmission, LLC",Alexandria Compressor Station,Alexandria Compressor Station.10086-01,Compressor Station,Operating,Natural Gas,230032,1022,0,32
"-90.269073, 29.959537",LA,Jefferson,Dyno Nobel LA Ammonia LLC,Dyno Nobel Ammonia Production Facility,Dyno Nobel - New Ammonia Production Facility,Ammonia/Urea Plants,Operating,Synthetic Fertilizers,1976157.649,27803,54,38
"-92.396868, 31.558481",LA,Grant,"TopChem Pollock, LLC",TopChem Ammonia Plant,TopChem Ammonia Plant - Initial Construction,Ammonia/Urea Plants,Pre-construction,Synthetic Fertilizers,550839,1429,5,46
"-92.540658, 30.453275",LA,Acadia,Driftwood Pipeline LLC,Basile Compressor Station,Basile Compressor Station (CS-02) - Initial Construction,Compressor Station,Pre-construction,Natural Gas,320746,691,3,39
"-91.205556, 30.558889",LA,East Baton Rouge,ExxonMobil Chemical Company,Baton Rouge Polyolefins Plant,Baton Rouge Polyolefins - Polypropylene Line No. 2,Propylene Dehydrogenation (PDH) Plant,Under construction,Petrochemicals and Plastics,,15040,92,52
"-91.17392, 30.484917",LA,East Baton Rouge,ExxonMobil,Baton Rouge Refinery,Baton Rouge Refinery Integrated Competitiveness (BRRIC) Suite,Refinery,Announced,Oil,,55882,91,64
"-93.213306, 30.44387",LA,Beauregard,Port Arthur Pipeline LLC,Beauregard Parish Compressor Station,Beauregard Parish Compressor - Initial Construction,Compressor Station,Pre-construction,Natural Gas,318955,2316,6,14
"-93.306783, 30.107396",LA,Calcasieu,"Big Lake Fuels, LLC",Big Lake Fuels Methanol Plant,Big Lake Fuels Methanol Plant - Initial Construction,Methanol Plant,Pre-construction,Petrochemicals and Plastics,2094765,1574,6,21
"-93.0046, 28.433408",LA,,Blue Marlin Offshore Port LLC,Blue Marlin Offshore Port,Blue Marlin Offshore Port - Initial Construction,Crude Oil Terminal,Pre-construction,Oil,16503,,,
"-93.332487, 29.774026",LA,Cameron,"Venture Global Calcasieu Pass, LLC",Calcasieu Pass LNG Terminal,Calcasieu Pass LNG Terminal - Initial Construction,Liquefied Natural Gas Terminal or Liquefaction Plant,Operating,Liquefied Natural Gas,3970643,161,0,62
"-93.339263, 30.035156",LA,Cameron,"Cameron LNG, LLC",Cameron LNG Facility,Cameron LNG Phase I,Liquefied Natural Gas Terminal or Liquefaction Plant,Operating,Liquefied Natural Gas,3958512,490,4,37
"-91.44554, 29.74094",LA,St. Mary,ANR Pipeline Company,Centerville Compressor Station,Centerville Compressor - Initial Construction,Compressor Station,Pre-construction,Natural Gas,91470,2733,34,40
"-92.246844, 30.861406",LA,Evangeline,"Columbia Gulf Transmission, LLC",Chicot Compressor Station,Chicot Compressor Station,Compressor Station,Under construction,Natural Gas,216957,776,39,57
"-93.333214, 29.766675",LA,Cameron,Commonwealth LNG LLC,Commonwealth LNG Terminal,Commonwealth LNG Terminal - Initial Construction,Liquefied Natural Gas Terminal or Liquefaction Plant,Pre-construction,Liquefied Natural Gas,3535115,108,0,62
"-93.88258, 29.762961",LA,Cameron,"Natural Gas Pipeline Company of America, LLC",Sabine Compressor Station 348,Sabine Pass Compression Project - Compressor Station 348,Compressor Station,Operating,Natural Gas,97617,288,14,18
"-89.70083, 29.84861",LA,St. Bernard,"Tennessee Gas Pipeline Company, LLC",Compressor Station 529,Compressor Station 529 - Initial Construction,Compressor Station,Pre-construction,Natural Gas,,87,12,41
"-93.577832, 29.020699",LA,Cameron,"Delfin LNG, LLC",Delfin LNG Deepwater Port (Port Delfin),Port Delfin - Initial Construction,Liquefied Natural Gas Terminal or Liquefaction Plant,Pre-construction,Liquefied Natural Gas,4857091,,,
"-93.643618, 29.761389",LA,Cameron,"Delfin LNG, LLC",Delfin LNG Onshore Facility,Delfin Onshore Facility - Initial Construction,Liquefied Natural Gas Terminal or Liquefaction Plant,Pre-construction,Liquefied Natural Gas,445305,,1,9
"-89.892403, 29.600917",LA,Plaquemines,Venture Global Delta LNG LLC,Delta LNG Terminal,Delta LNG Terminal - Initial Construction,Liquefied Natural Gas Terminal or Liquefaction Plant,Pre-construction,Liquefied Natural Gas,7771098,433,87,60
"-93.285786, 30.826491",LA,Beauregard,Ingevity South Carolina LLC,Ingevity DeRidder Facility,Ingevity DeRidder Caprolactone Polyol Expansion Project,Plastic Resin Manufacturing,Announced,Petrochemicals and Plastics,,11437,39,41
"-90.351753, 29.925399",LA,St. Charles,Bayer CropScience LP,Bayer Luling Plant,Dicamba Manufacturing Project,Other Chemicals,Canceled,Other,304953,23654,37,26
"-90.957397, 30.100632",LA,Ascension,"CF Industries Nitrogen, LLC",Donaldsonville Nitrogen Complex,Donaldsonville Capacity Expansion Project,Ammonia/Urea Plants,Operating,Synthetic Fertilizers,4631807,9582,73,58
"-90.957397, 30.100632",LA,Ascension,"CF Industries Nitrogen, LLC",Donaldsonville Nitrogen Complex,Donaldsonville Nitric Acid Upgrades Project,Other Chemicals,Announced,Synthetic Fertilizers,,9582,73,58
"-93.336995, 30.103252",LA,Calcasieu,Driftwood LNG LLC,Driftwood LNG Facility,Driftwood LNG - Initial Construction,Liquefied Natural Gas Terminal or Liquefaction Plant,Pre-construction,Liquefied Natural Gas,9513442,657,13,28
"-93.03412, 30.15441",LA,Calcasieu,"Texas Eastern Transmission, LP",East Calcasieu Compressor Station,East Calcasieu Compressor - Initial Construction,Compressor Station,Operating,Natural Gas,124091,800,11,32
"-93.286337, 30.230265",LA,Calcasieu,LACC LLC,Lotte Chemical - Monoethylene Glycol Plant,LACC/Lotte Chemical - Ethylene and MEG Plants,Ethylene Cracker,Operating,Petrochemicals and Plastics,1155059,10278,18,36
"-92.524829, 30.456618",LA,Acadia,Kinder Morgan Louisiana Pipeline LLC,Eunice Compressor Station No. 760,Eunice Compressor Station No. 760 - Initial Construction,Compressor Station,Operating,Natural Gas,262877,928,5,37
"-92.532309, 30.460589",LA,Acadia,"Enlink Processing Services, LLC",Eunice Fractionator,Crosstex Fractionation Expansion Project,Natural Gas Liquids Fractionator,Operating,Petrochemicals and Plastics,265099,832,4,40
"-90.917597, 30.045997",LA,St. James,"FG LA, LLC",Formosa Sunshine Project,Formosa Sunshine Project,Plastic Resin Manufacturing,On hold,Petrochemicals and Plastics,13628091,1346,88,51
"-90.597359, 30.069963",LA,St. John the Baptist,"Marathon Petroleum, LLC",Garyville Refinery,"Cat Max, U55 GDU Natural Gasoline, Unit 210 Revamp, and Unit 5 Merox Reroute Projects",Refinery,Operating,Oil,701382,7036,56,42
"-90.597359, 30.069963",LA,St. John the Baptist,"Marathon Petroleum, LLC",Garyville Refinery,Coker 3 Project and Refinery Optimization Project,Refinery,Operating,Oil,195017,7036,56,42
"-90.597359, 30.069963",LA,St. John the Baptist,"Marathon Petroleum, LLC",Garyville Refinery,"Unit 10 Crude Revamp, Coker Max, Sulfur Reliability, and FCC Rate Increase Projects",Refinery,Operating,Oil,1013648,7036,56,42
"-91.051236, 30.233677",LA,"Ascension, Iberville",NOVA Chemicals Olefins LLC,NOVA Chemicals - Geismar Ethylene Plant,NOVA Geismar - Ethylene Capacity Expansion Project,Ethylene Cracker,Operating,Petrochemicals and Plastics,182265,3184,56,25
"-91.020133, 30.206521",LA,Ascension,Methanex USA Services LLC,Methanex Geismar Methanol Plant,Geismar Methanol Plant 3 and G1/G2 Debottlenecking Projects,Methanol Plant,Under construction,Petrochemicals and Plastics,457375,1465,37,17
"-91.020133, 30.206521",LA,Ascension,Methanex USA Services LLC,Methanex Geismar Methanol Plant,Geismar Methanol Plants 1 and 2,Methanol Plant,Operating,Petrochemicals and Plastics,2080568,1465,37,17
"-90.995614, 30.182235",LA,Ascension,Shell Chemical LP,Shell Geismar Chemical Plant,Shell Geismar - MEG Capacity Expansion,Plastic Resin Manufacturing,Pre-construction,Petrochemicals and Plastics,782905,1159,48,35
"-90.988806, 30.210053",LA,Ascension,"Praxair, Inc.",Geismar Syngas Separation Unit,Geismar Syngas Separation Unit - Initial Construction,Other Inorganic Gases,Operating,Petrochemicals and Plastics,114344,7739,39,16
"-93.05739, 30.380087",LA,Jefferson Davis,Driftwood Pipeline LLC,Gillis Compressor Station,Gillis Compressor Station (CS-01) - Initial Construction,Compressor Station,Pre-construction,Natural Gas,590115,421,13,30
"-93.147778, 30.448889",LA,Beauregard,Cheniere Creole Trail Pipeline LP,Cheniere Creole Trail Pipeline - Gillis Compressor Station,Cheniere Gillis Compressor - Initial Construction,Compressor Station,Operating,Natural Gas,206940,1527,5,19
"-90.24175, 29.32793",LA,Lafourche,ANR Pipeline Company,Golden Meadow Compressor Station,Golden Meadow Compressor - Initial Construction,Compressor Station,Pre-construction,Natural Gas,91132,368,25,38
"-89.929626, 29.629228",LA,Plaquemines,IGP Methanol,IGP Gulf Coast Methanol Complex,IGP Gulf Coast Methanol Complex - Initial Construction,Methanol Plant,On hold,Petrochemicals and Plastics,2533377,670,83,59
"-93.318049, 30.365454",LA,Calcasieu,"Cameron Interstate Pipeline, LLC",Holbrook Compressor Station,Holbrook Compressor - Initial Construction,Compressor Station,Operating,Natural Gas,169593,863,5,17
"-93.04853, 30.29925",LA,Calcasieu,Trunkline Gas Company LLC,Iowa Compressor Station,Iowa Compressor - Initial Construction,Compressor Station,Pre-construction,Natural Gas,391235,3003,16,34
"-93.284084, 30.253945",LA,Calcasieu,"Sasol North America, Inc.",Sasol Lake Charles Chemical Complex,Sasol Lake Charles Chemical Complex - Comonomer Unit 1,Plastic Resin Manufacturing,Operating,Petrochemicals and Plastics,96038,10814,15,34
"-93.284084, 30.253945",LA,Calcasieu,"Sasol North America, Inc.",Sasol Lake Charles Chemical Complex,Sasol Lake Charles Chemicals Project,Plastic Resin Manufacturing,Operating,Petrochemicals and Plastics,693055,10814,15,34
"-93.29312, 30.259227",LA,Calcasieu,Louisiana Integrated Polyethylene JV LLC,LyondellBasell Lake Charles Chemical Complex,LyondellBasell Lake Charles Chemicals Project,Ethylene Cracker,Operating,Petrochemicals and Plastics,3586620,11508,16,33
"-93.325946, 30.191196",LA,Calcasieu,Indorama Ventures Olefins LLC,Westlake Ethylene Plant,Westlake Ethylene Plant Restart,Ethylene Cracker,Operating,Petrochemicals and Plastics,1158682,11794,12,31
"-93.283423, 30.109676",LA,Calcasieu,Lake Charles LNG LLC,Lake Charles LNG Export Terminal,Lake Charles LNG Export Terminal - Initial Construction,Liquefied Natural Gas Terminal or Liquefaction Plant,Pre-construction,Liquefied Natural Gas,4321253,5712,13,26
"-93.305403, 30.187486",LA,Calcasieu,"Lake Charles Methanol, LLC",Lake Charles Methanol Facility,Lake Charles Methanol - Initial Construction,Methanol Plant,Pre-construction,Petrochemicals and Plastics,6014977,10819,15,21
"-93.274337, 30.241793",LA,Calcasieu,Phillips 66,Lake Charles Refinery,2013 Boiler Replacement Project,Refinery,Operating,Oil,171624,10340,16,35
"-93.274337, 30.241793",LA,Calcasieu,Phillips 66,Lake Charles Refinery,Increased Export Capacity Project,Refinery,Operating,Oil,4991.52,10340,16,35
"-93.22803, 30.59757",LA,Beauregard,Trunkline Gas Company LLC,Longville Compressor Station,Longville Compressor Station.10372-01,Compressor Station,Pre-construction,Natural Gas,40901,1221,2,36
"-90.524564, 30.0336",LA,St. John the Baptist,"Eurochem Louisiana, LLC",Eurochem Louisiana Fertilizer Plant,Eurochem Louisiana Fertilizer Plant - Initial Construction,Ammonia/Urea Plants,On hold,Synthetic Fertilizers,4527943,9092,66,46
"-93.296869, 30.105994",LA,Calcasieu,"Magnolia LNG, LLC",Magnolia LNG Facility,Magnolia LNG - Initial Construction,Liquefied Natural Gas Terminal or Liquefaction Plant,Pre-construction,Liquefied Natural Gas,2459715,2829,8,24
