,,Total Vote,B,T,P,Margin,Margin (%),,Biden,Trump,Pierce,Other,Biden,Trump,Pierce,Jorgensen,Hawkins,Blankenship,de la Fuente,West,La Riva,Write-ins,Kennedy,Myers,Carroll,Collins,Huber,Segal,Janos,Kopitke,Hunter,Kishore,Hammons,Boddie,Charles,Duncan,Hoefling,Jacob-Fambro,King,LaFontaine,McCormic,McHugh,Paige,Scalf,Scott,Simmons,Swing,Tittle,None,Gammon,,J,H,B,d,Jorgensen,Hawkins,Blankenship,de la Fuente,,,,CD,,ST,CTY,FIPS,FIPS2010,LSAD_TRANS,Blank/Under,Void/Over,,,,,,,,,,Total Vote (county report),Total Write-ins,Other,,Qualified Write-ins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cherokee,AL,"12,301",,,0,"8,959",72.83%,,13.20%,86.03%,0.00%,0.76%,"1,624","10,583",,82,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.67%,0.00%,0.00%,0.00%,,Cherokee,AL,,,01,019,01019,01019,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chilton,AL,"19,310",,,0,"13,012",67.38%,,15.91%,83.30%,0.00%,0.79%,"3,073","16,085",,123,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.64%,0.00%,0.00%,0.00%,,Chilton,AL,6,,01,021,01021,01021,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Choctaw,AL,"7,464",,,0,"1,169",15.66%,,41.89%,57.56%,0.00%,0.55%,"3,127","4,296",,38,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.51%,0.00%,0.00%,0.00%,,Choctaw,AL,7,,01,023,01023,01023,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clarke,AL,"13,135",,,0,"1,569",11.95%,,43.81%,55.76%,0.00%,0.43%,"5,755","7,324",,49,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.37%,0.00%,0.00%,0.00%,,Clarke,AL,,,01,025,01025,01025,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clay,AL,"6,930",,,0,"4,334",62.54%,,18.28%,80.82%,0.00%,0.89%,"1,267","5,601",,53,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.76%,0.00%,0.00%,0.00%,,Clay,AL,3,,01,027,01027,01027,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cleburne,AL,"7,227",,,0,"5,809",80.38%,,9.34%,89.72%,0.00%,0.94%,675,"6,484",,60,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.83%,0.00%,0.00%,0.00%,,Cleburne,AL,3,,01,029,01029,01029,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coffee,AL,"22,275",,,0,"11,823",53.08%,,22.79%,75.87%,0.00%,1.35%,"5,076","16,899",,264,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1.19%,0.00%,0.00%,0.00%,,Coffee,AL,2,,01,031,01031,01031,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colbert,AL,"27,886",,,0,"10,860",38.94%,,29.92%,68.86%,0.00%,1.22%,"8,343","19,203",,272,,,,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.98%,0.00%,0.00%,0.00%,,Colbert,AL,4,,01,033,01033,01033,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conecuh,AL,"6,441",,,0,476,7.39%,,46.05%,53.44%,0.00%,0.51%,"2,966","3,442",,32,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.50%,0.00%,0.00%,0.00%,,Conecuh,AL,2,,01,035,01035,01035,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coosa,AL,"5,479",,,0,"1,835",33.49%,,32.78%,66.27%,0.00%,0.95%,"1,796","3,631",,46,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.84%,0.00%,0.00%,0.00%,,Coosa,AL,6,,01,037,01037,01037,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Covington,AL,"17,430",,,0,"11,865",68.07%,,15.61%,83.68%,0.00%,0.71%,"2,721","14,586",,97,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.56%,0.00%,0.00%,0.00%,,Covington,AL,2,,01,039,01039,01039,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crenshaw,AL,"6,617",,,0,"3,164",47.82%,,25.69%,73.51%,0.00%,0.80%,"1,700","4,864",,44,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.66%,0.00%,0.00%,0.00%,,Crenshaw,AL,2,,01,041,01041,01041,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cullman,AL,"41,851",,,0,"32,402",77.42%,,10.70%,88.12%,0.00%,1.18%,"4,478","36,880",,418,,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1.00%,0.00%,0.00%,0.00%,,Cullman,AL,4,,01,043,01043,01043,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dale,AL,"19,738",,,0,"9,133",46.27%,,26.19%,72.46%,0.00%,1.34%,"5,170","14,303",,233,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1.18%,0.00%,0.00%,0.00%,,Dale,AL,2,,01,045,01045,01045,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dallas,AL,"17,864",,,0,"6,706",37.54%,,68.46%,30.92%,0.00%,0.62%,"12,230","5,524",,90,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.50%,0.00%,0.00%,0.00%,,Dallas,AL,7,,01,047,01047,01047,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeKalb,AL,"29,356",,,0,"20,486",69.78%,,14.58%,84.37%,0.00%,1.05%,"4,281","24,767",,250,,,,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.85%,0.00%,0.00%,0.00%,,DeKalb,AL,4,,01,049,01049,01049,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elmore,AL,"41,030",,,0,"19,797",48.25%,,25.27%,73.52%,0.00%,1.22%,"10,367","30,164",,398,,,,,,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.97%,0.00%,0.00%,0.00%,,Elmore,AL,2,,01,051,01051,01051,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escambia,AL,"15,910",,,0,"5,951",37.40%,,30.91%,68.32%,0.00%,0.77%,"4,918","10,869",,94,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.59%,0.00%,0.00%,0.00%,,Escambia,AL,1,,01,053,01053,01053,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Etowah,AL,"47,728",,,0,"23,961",50.20%,,24.24%,74.44%,0.00%,1.33%,"11,567","35,528",,531,,,,,,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1.11%,0.00%,0.00%,0.00%,,Etowah,AL,4,,01,055,01055,01055,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fayette,AL,"8,766",,,0,"5,905",67.36%,,15.91%,83.28%,0.00%,0.81%,"1,395","7,300",,56,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.64%,0.00%,0.00%,0.00%,,Fayette,AL,4,,01,057,01057,01057,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Franklin,AL,"12,578",,,0,"8,290",65.91%,,16.58%,82.49%,0.00%,0.92%,"2,086","10,376",,106,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.84%,0.00%,0.00%,0.00%,,Franklin,AL,4,,01,059,01059,01059,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geneva,AL,"12,545",,,0,"9,253",73.76%,,12.71%,86.47%,0.00%,0.81%,"1,595","10,848",,90,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.72%,0.00%,0.00%,0.00%,,Geneva,AL,2,,01,061,01061,01061,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greene,AL,"4,775",,,0,"3,009",63.02%,,81.34%,18.32%,0.00%,0.34%,"3,884",875,,8,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.17%,0.00%,0.00%,0.00%,,Greene,AL,7,,01,063,01063,01063,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hale,AL,"7,900",,,0,"1,471",18.62%,,59.03%,40.41%,0.00%,0.57%,"4,663","3,192",,37,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.47%,0.00%,0.00%,0.00%,,Hale,AL,7,,01,065,01065,01065,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henry,AL,"9,298",,,0,"4,001",43.03%,,28.03%,71.06%,0.00%,0.91%,"2,606","6,607",,69,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.74%,0.00%,0.00%,0.00%,,Henry,AL,2,,01,067,01067,01067,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Houston,AL,"46,173",,,0,"19,701",42.67%,,27.98%,70.64%,0.00%,1.38%,"12,917","32,618",,533,,,,,,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1.15%,0.00%,0.00%,0.00%,,Houston,AL,2,,01,069,01069,01069,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jackson,AL,"23,636",,,0,"15,953",67.49%,,15.73%,83.22%,0.00%,1.05%,"3,717","19,670",,208,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.88%,0.00%,0.00%,0.00%,,Jackson,AL,,,01,071,01071,01071,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jefferson,AL,"325,848",,,0,"42,845",13.15%,,55.76%,42.61%,0.00%,1.63%,"181,688","138,843",,"3,578",,,,,,"1,739",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1.10%,0.00%,0.00%,0.00%,,Jefferson,AL,,,01,073,01073,01073,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamar,AL,"7,193",,,0,"5,196",72.24%,,13.60%,85.83%,0.00%,0.57%,978,"6,174",,33,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.46%,0.00%,0.00%,0.00%,,Lamar,AL,4,,01,075,01075,01075,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lauderdale,AL,"44,339",,,0,"19,806",44.67%,,26.87%,71.54%,0.00%,1.59%,"11,915","31,721",,537,,,,,,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1.21%,0.00%,0.00%,0.00%,,Lauderdale,AL,5,,01,077,01077,01077,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lawrence,AL,"16,031",,,0,"8,760",54.64%,,22.22%,76.86%,0.00%,0.92%,"3,562","12,322",,126,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.79%,0.00%,0.00%,0.00%,,Lawrence,AL,4,,01,079,01079,01079,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lee,AL,"71,449",,,0,"14,361",20.10%,,38.99%,59.09%,0.00%,1.91%,"27,860","42,221",,"1,019",,,,,,349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1.43%,0.00%,0.00%,0.00%,,Lee,AL,3,,01,081,01081,01081,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Limestone,AL,"49,235",,,0,"20,968",42.59%,,27.77%,70.36%,0.00%,1.87%,"13,672","34,640",,748,,,,,,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1.52%,0.00%,0.00%,0.00%,,Limestone,AL,5,,01,083,01083,01083,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lowndes,AL,"6,835",,,0,"3,136",45.88%,,72.74%,26.86%,0.00%,0.40%,"4,972","1,836",,26,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.38%,0.00%,0.00%,0.00%,,Lowndes,AL,7,,01,085,01085,01085,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macon,AL,"8,723",,,0,"5,567",63.82%,,81.49%,17.67%,0.00%,0.85%,"7,108","1,541",,52,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.60%,0.00%,0.00%,0.00%,,Macon,AL,3,,01,087,01087,01087,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madison,AL,"194,767",,,0,"15,494",7.96%,,44.82%,52.77%,0.00%,2.41%,"87,286","102,780",,"3,699",,,,,,"1,002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1.90%,0.00%,0.00%,0.00%,,Madison,AL,5,,01,089,01089,01089,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marengo,AL,"10,900",,,0,145,1.33%,,50.35%,49.02%,0.00%,0.63%,"5,488","5,343",,59,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.54%,0.00%,0.00%,0.00%,,Marengo,AL,7,,01,091,01091,01091,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marion,AL,"13,807",,,0,"10,742",77.80%,,10.60%,88.40%,0.00%,1.01%,"1,463","12,205",,115,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.83%,0.00%,0.00%,0.00%,,Marion,AL,4,,01,093,01093,01093,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marshall,AL,"39,655",,,0,"27,248",68.71%,,14.99%,83.70%,0.00%,1.31%,"5,943","33,191",,435,,,,,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1.10%,0.00%,0.00%,0.00%,,Marshall,AL,4,,01,095,01095,01095,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile,AL,"183,164",,,0,"21,769",11.88%,,43.39%,55.27%,0.00%,1.34%,"79,474","101,243",,"1,938",,,,,,509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1.06%,0.00%,0.00%,0.00%,,Mobile,AL,1,,01,097,01097,01097,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monroe,AL,"10,668",,,0,"1,692",15.86%,,41.76%,57.62%,0.00%,0.62%,"4,455","6,147",,53,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.50%,0.00%,0.00%,0.00%,,Monroe,AL,1,,01,099,01099,01099,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montgomery,AL,"99,139",,,0,"31,218",31.49%,,65.09%,33.60%,0.00%,1.31%,"64,529","33,311",,923,,,,,,376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.93%,0.00%,0.00%,0.00%,,Montgomery,AL,,,01,101,01101,01101,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morgan,AL,"53,722",,,0,"26,430",49.20%,,24.63%,73.83%,0.00%,1.53%,"13,234","39,664",,705,,,,,,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1.31%,0.00%,0.00%,0.00%,,Morgan,AL,5,,01,103,01103,01103,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perry,AL,"5,230",,,0,"2,521",48.20%,,73.80%,25.60%,0.00%,0.59%,"3,860","1,339",,24,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.46%,0.00%,0.00%,0.00%,,Perry,AL,7,,01,105,01105,01105,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pickens,AL,"9,668",,,0,"1,572",16.26%,,41.60%,57.86%,0.00%,0.54%,"4,022","5,594",,40,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.41%,0.00%,0.00%,0.00%,,Pickens,AL,7,,01,107,01107,01107,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pike,AL,"13,841",,,0,"2,406",17.38%,,40.72%,58.10%,0.00%,1.18%,"5,636","8,042",,134,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.97%,0.00%,0.00%,0.00%,,Pike,AL,2,,01,109,01109,01109,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Randolph,AL,"10,837",,,0,"6,356",58.65%,,20.33%,78.98%,0.00%,0.69%,"2,203","8,559",,61,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.56%,0.00%,0.00%,0.00%,,Randolph,AL,3,,01,111,01111,01111,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russell,AL,"21,329",,,0,"1,364",6.40%,,52.64%,46.25%,0.00%,1.11%,"11,228","9,864",,198,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.93%,0.00%,0.00%,0.00%,,Russell,AL,3,,01,113,01113,01113,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Clair,AL,"44,441",,,0,"28,422",63.95%,,17.43%,81.38%,0.00%,1.19%,"7,744","36,166",,446,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1.00%,0.00%,0.00%,0.00%,,St. Clair,AL,3,,01,115,01115,01115,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shelby,AL,"114,950",,,0,"46,432",40.39%,,28.94%,69.33%,0.00%,1.72%,"33,268","79,700",,"1,462",,,,,,520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1.27%,0.00%,0.00%,0.00%,,Shelby,AL,6,,01,117,01117,01117,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sumter,AL,"6,291",,,0,"3,050",48.48%,,73.88%,25.40%,0.00%,0.72%,"4,648","1,598",,37,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.59%,0.00%,0.00%,0.00%,,Sumter,AL,7,,01,119,01119,01119,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Talladega,AL,"35,663",,,0,"9,097",25.51%,,36.84%,62.35%,0.00%,0.81%,"13,138","22,235",,247,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.69%,0.00%,0.00%,0.00%,,Talladega,AL,3,,01,121,01121,01121,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tallapoosa,AL,"20,991",,,0,"9,104",43.37%,,27.91%,71.28%,0.00%,0.81%,"5,859","14,963",,130,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.62%,0.00%,0.00%,0.00%,,Tallapoosa,AL,3,,01,123,01123,01123,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuscaloosa,AL,"90,172",,,0,"13,352",14.81%,,41.88%,56.69%,0.00%,1.43%,"37,765","51,117",,927,,,,,,363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1.03%,0.00%,0.00%,0.00%,,Tuscaloosa,AL,,,01,125,01125,01125,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Walker,AL,"31,170",,,0,"21,168",67.91%,,15.51%,83.42%,0.00%,1.07%,"4,834","26,002",,277,,,,,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.89%,0.00%,0.00%,0.00%,,Walker,AL,4,,01,127,01127,01127,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington,AL,"8,876",,,0,"4,306",48.51%,,25.44%,73.95%,0.00%,0.61%,"2,258","6,564",,45,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.51%,0.00%,0.00%,0.00%,,Washington,AL,1,,01,129,01129,01129,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
